,code,name,ind_code,ind
188,3220,대원제약,32102,의약품 제조업
339,3230,삼양식품,31007,기타 식품 제조업
620,3240,태광산업,32005,화학섬유 제조업
790,3280,흥아해운,85001,해상 운송업
718,3300,한일홀딩스,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
687,3350,한국화장품제조,32004,기타 화학제품 제조업
421,3410,쌍용양회공업,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
505,3460,유화증권,116601,금융 지원 서비스업
499,3470,유안타증권,116601,금융 지원 서비스업
724,3480,한진중공업홀딩스,43502,연료용 가스 제조 및 배관공급업
200,3490,대한항공,85101,항공 여객 운송업
466,3520,영진약품,32102,의약품 제조업
734,3530,한화투자증권,116601,금융 지원 서비스업
178,3540,대신증권,116601,금융 지원 서비스업
52,3550,LG,116409,기타 금융업
437,3560,아이에이치큐,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
75,3570,S&T중공업,33003,자동차 신품 부품 제조업
152,3580,넥스트사이언스,20702,기타 비금속광물 광업
296,3610,방림,31302,직물직조 및 직물제품 제조업
422,3620,쌍용자동차,33001,자동차용 엔진 및 자동차 제조업
294,3650,미창석유공업,31902,석유 정제품 제조업
644,3670,포스코케미칼,32302,"내화, 비내화 요업제품 제조업"
698,3680,한성기업,31002,수산물 가공 및 저장 처리업
596,3690,코리안리,116502,재 보험업
345,3720,삼영화학공업,32202,플라스틱제품 제조업
570,3780,진양산업,32202,플라스틱제품 제조업
202,3830,대한화섬,32005,화학섬유 제조업
303,3850,보령제약,32102,의약품 제조업
147,3920,남양유업,31005,낙농제품 및 식용빙과류 제조업
315,3960,사조대림,31002,수산물 가공 및 저장 처리업
260,4000,롯데정밀화학,32001,기초 화학물질 제조업
756,4020,현대제철,32401,1차 철강 제조업
80,4060,SG세계물산,74608,상품 종합 도매업
419,4080,신흥,74605,기계장비 및 관련 물품 도매업
665,4090,한국석유공업,32309,기타 비금속 광물제품 제조업
622,4100,태양금속공업,33003,자동차 신품 부품 제조업
213,4140,동방,85209,기타 운송관련 서비스업
707,4150,한솔홀딩스,116409,기타 금융업
404,4170,신세계,74701,종합 소매업
460,4250,엔피씨,32202,플라스틱제품 제조업
146,4270,남성,74607,기타 전문 도매업
748,4310,현대약품,32102,의약품 제조업
379,4360,세방,84903,도로 화물 운송업
158,4370,농심,31007,기타 식품 제조업
347,4380,삼익THK,32901,일반 목적용 기계 제조업
367,4410,서울식품공업,31007,기타 식품 제조업
396,4430,송원산업,32004,기타 화학제품 제조업
171,4440,대림씨엔에스,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
